# The QEMU register NAME -> generic wire register map for riscv64.
#
# name<TAB>generic<TAB>ground.  Columns are tab-separated; a row's GROUND
# says what decided it, because a register identity chosen without a stated
# reason is a guess that reads like a fact.
#
# The names are not chosen here: scripts/cst-regmap.py reads them out of the
# target's own registration sites and REFUSES to generate if this file is
# short a name or carries one the target never registers.
f0/ft0	REG_FPR0	riscv_fpr_regnames[] index
f1/ft1	REG_FPR1	riscv_fpr_regnames[] index
f10/fa0	REG_FPR10	riscv_fpr_regnames[] index
f11/fa1	REG_FPR11	riscv_fpr_regnames[] index
f12/fa2	REG_FPR12	riscv_fpr_regnames[] index
f13/fa3	REG_FPR13	riscv_fpr_regnames[] index
f14/fa4	REG_FPR14	riscv_fpr_regnames[] index
f15/fa5	REG_FPR15	riscv_fpr_regnames[] index
f16/fa6	REG_FPR16	riscv_fpr_regnames[] index
f17/fa7	REG_FPR17	riscv_fpr_regnames[] index
f18/fs2	REG_FPR18	riscv_fpr_regnames[] index
f19/fs3	REG_FPR19	riscv_fpr_regnames[] index
f2/ft2	REG_FPR2	riscv_fpr_regnames[] index
f20/fs4	REG_FPR20	riscv_fpr_regnames[] index
f21/fs5	REG_FPR21	riscv_fpr_regnames[] index
f22/fs6	REG_FPR22	riscv_fpr_regnames[] index
f23/fs7	REG_FPR23	riscv_fpr_regnames[] index
f24/fs8	REG_FPR24	riscv_fpr_regnames[] index
f25/fs9	REG_FPR25	riscv_fpr_regnames[] index
f26/fs10	REG_FPR26	riscv_fpr_regnames[] index
f27/fs11	REG_FPR27	riscv_fpr_regnames[] index
f28/ft8	REG_FPR28	riscv_fpr_regnames[] index
f29/ft9	REG_FPR29	riscv_fpr_regnames[] index
f3/ft3	REG_FPR3	riscv_fpr_regnames[] index
f30/ft10	REG_FPR30	riscv_fpr_regnames[] index
f31/ft11	REG_FPR31	riscv_fpr_regnames[] index
f4/ft4	REG_FPR4	riscv_fpr_regnames[] index
f5/ft5	REG_FPR5	riscv_fpr_regnames[] index
f6/ft6	REG_FPR6	riscv_fpr_regnames[] index
f7/ft7	REG_FPR7	riscv_fpr_regnames[] index
f8/fs0	REG_FPR8	riscv_fpr_regnames[] index
f9/fs1	REG_FPR9	riscv_fpr_regnames[] index
fcsr	REG_FCSR	the architectural fcsr, declared as one container over CPURISCVState::frm and ::fp_status -- the two places QEMU keeps its rounding-mode and accrued-flag fields
load_res	REG_NONE	R7.7: reservation state is not a register
load_val	REG_NONE	R7.7: reservation state is not a register
pc	REG_IP	arch-role: the program counter
v0	REG_VEC0	vector file index
v1	REG_VEC1	vector file index
v10	REG_VEC10	vector file index
