# The gdbstub register NAME -> generic wire register map for riscv64.
#
# name<TAB>generic<TAB>ground.  This is the SECOND namespace: the spelling
# qemu_plugin_get_registers() hands a plugin, which is the namespace a VALUE
# READ resolves through.  It is not the TCG-global namespace riscv64.tsv
# carries, and the two disagree on real registers -- which is the whole reason
# both exist.
#
# The names are not chosen here: scripts/cst-regmap.py --namespace gdb reads
# them out of the target's own CORE feature XML and REFUSES to generate if
# this file is short a name or carries one the feature never declares.
#
# A row whose ground begins "incumbent:" was already adjudicated on the
# Capstone-era per-ISA table, which keyed its value-read route on this same
# gdb (feature, name) pair; those rows carry that adjudication forward
# unchanged so E1's deletion of that table loses nothing.

a0	REG_GPR10	incumbent: the per-ISA table routed this gdb name here
a1	REG_GPR11	incumbent: the per-ISA table routed this gdb name here
a2	REG_GPR12	incumbent: the per-ISA table routed this gdb name here
a3	REG_GPR13	incumbent: the per-ISA table routed this gdb name here
a4	REG_GPR14	incumbent: the per-ISA table routed this gdb name here
a5	REG_GPR15	incumbent: the per-ISA table routed this gdb name here
a6	REG_GPR16	incumbent: the per-ISA table routed this gdb name here
a7	REG_GPR17	incumbent: the per-ISA table routed this gdb name here
fp	REG_FP_REG	incumbent: the per-ISA table routed this gdb name here
gp	REG_GPR3	incumbent: the per-ISA table routed this gdb name here
pc	REG_IP	the program counter; Capstone's RISCV register enum has no PC row, so the incumbent table never named it
ra	REG_LR	incumbent: the per-ISA table routed this gdb name here
s1	REG_GPR9	incumbent: the per-ISA table routed this gdb name here
s10	REG_GPR26	incumbent: the per-ISA table routed this gdb name here
s11	REG_GPR27	incumbent: the per-ISA table routed this gdb name here
s2	REG_GPR18	incumbent: the per-ISA table routed this gdb name here
s3	REG_GPR19	incumbent: the per-ISA table routed this gdb name here
s4	REG_GPR20	incumbent: the per-ISA table routed this gdb name here
s5	REG_GPR21	incumbent: the per-ISA table routed this gdb name here
s6	REG_GPR22	incumbent: the per-ISA table routed this gdb name here
s7	REG_GPR23	incumbent: the per-ISA table routed this gdb name here
s8	REG_GPR24	incumbent: the per-ISA table routed this gdb name here
s9	REG_GPR25	incumbent: the per-ISA table routed this gdb name here
sp	REG_SP	incumbent: the per-ISA table routed this gdb name here
t0	REG_GPR5	incumbent: the per-ISA table routed this gdb name here
t1	REG_GPR6	incumbent: the per-ISA table routed this gdb name here
t2	REG_GPR7	incumbent: the per-ISA table routed this gdb name here
t3	REG_GPR28	incumbent: the per-ISA table routed this gdb name here
t4	REG_GPR29	incumbent: the per-ISA table routed this gdb name here
t5	REG_GPR30	incumbent: the per-ISA table routed this gdb name here
t6	REG_GPR31	incumbent: the per-ISA table routed this gdb name here
tp	REG_GPR4	incumbent: the per-ISA table routed this gdb name here
zero	REG_ZERO	incumbent: the per-ISA table routed this gdb name here
ft0	REG_FPR0	incumbent: the per-ISA table routed this gdb name here; ft0 is f0 in the riscv FPU feature
ft1	REG_FPR1	incumbent: the per-ISA table routed this gdb name here; ft1 is f1 in the riscv FPU feature
ft2	REG_FPR2	incumbent: the per-ISA table routed this gdb name here; ft2 is f2 in the riscv FPU feature
ft3	REG_FPR3	incumbent: the per-ISA table routed this gdb name here; ft3 is f3 in the riscv FPU feature
ft4	REG_FPR4	incumbent: the per-ISA table routed this gdb name here; ft4 is f4 in the riscv FPU feature
ft5	REG_FPR5	incumbent: the per-ISA table routed this gdb name here; ft5 is f5 in the riscv FPU feature
ft6	REG_FPR6	incumbent: the per-ISA table routed this gdb name here; ft6 is f6 in the riscv FPU feature
ft7	REG_FPR7	incumbent: the per-ISA table routed this gdb name here; ft7 is f7 in the riscv FPU feature
fs0	REG_FPR8	incumbent: the per-ISA table routed this gdb name here; fs0 is f8 in the riscv FPU feature
fs1	REG_FPR9	incumbent: the per-ISA table routed this gdb name here; fs1 is f9 in the riscv FPU feature
fa0	REG_FPR10	incumbent: the per-ISA table routed this gdb name here; fa0 is f10 in the riscv FPU feature
fa1	REG_FPR11	incumbent: the per-ISA table routed this gdb name here; fa1 is f11 in the riscv FPU feature
fa2	REG_FPR12	incumbent: the per-ISA table routed this gdb name here; fa2 is f12 in the riscv FPU feature
fa3	REG_FPR13	incumbent: the per-ISA table routed this gdb name here; fa3 is f13 in the riscv FPU feature
fa4	REG_FPR14	incumbent: the per-ISA table routed this gdb name here; fa4 is f14 in the riscv FPU feature
fa5	REG_FPR15	incumbent: the per-ISA table routed this gdb name here; fa5 is f15 in the riscv FPU feature
fa6	REG_FPR16	incumbent: the per-ISA table routed this gdb name here; fa6 is f16 in the riscv FPU feature
fa7	REG_FPR17	incumbent: the per-ISA table routed this gdb name here; fa7 is f17 in the riscv FPU feature
fs2	REG_FPR18	incumbent: the per-ISA table routed this gdb name here; fs2 is f18 in the riscv FPU feature
fs3	REG_FPR19	incumbent: the per-ISA table routed this gdb name here; fs3 is f19 in the riscv FPU feature
fs4	REG_FPR20	incumbent: the per-ISA table routed this gdb name here; fs4 is f20 in the riscv FPU feature
fs5	REG_FPR21	incumbent: the per-ISA table routed this gdb name here; fs5 is f21 in the riscv FPU feature
fs6	REG_FPR22	incumbent: the per-ISA table routed this gdb name here; fs6 is f22 in the riscv FPU feature
fs7	REG_FPR23	incumbent: the per-ISA table routed this gdb name here; fs7 is f23 in the riscv FPU feature
fs8	REG_FPR24	incumbent: the per-ISA table routed this gdb name here; fs8 is f24 in the riscv FPU feature
fs9	REG_FPR25	incumbent: the per-ISA table routed this gdb name here; fs9 is f25 in the riscv FPU feature
fs10	REG_FPR26	incumbent: the per-ISA table routed this gdb name here; fs10 is f26 in the riscv FPU feature
fs11	REG_FPR27	incumbent: the per-ISA table routed this gdb name here; fs11 is f27 in the riscv FPU feature
ft8	REG_FPR28	incumbent: the per-ISA table routed this gdb name here; ft8 is f28 in the riscv FPU feature
ft9	REG_FPR29	incumbent: the per-ISA table routed this gdb name here; ft9 is f29 in the riscv FPU feature
ft10	REG_FPR30	incumbent: the per-ISA table routed this gdb name here; ft10 is f30 in the riscv FPU feature
ft11	REG_FPR31	incumbent: the per-ISA table routed this gdb name here; ft11 is f31 in the riscv FPU feature

# The RISC-V vector register file.  QEMU builds this feature in C rather
# than declaring it in an XML file (target/riscv/gdbstub.c,
# ricsv_gen_dynamic_vector_feature) because the register WIDTH is the
# realized CPU's VLEN; the NAMES are fixed literals and are read out of
# that builder the same way every other register file is read out of its
# own registration site.
v0	REG_VEC0	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v1	REG_VEC1	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v2	REG_VEC2	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v3	REG_VEC3	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v4	REG_VEC4	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v5	REG_VEC5	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v6	REG_VEC6	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v7	REG_VEC7	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v8	REG_VEC8	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v9	REG_VEC9	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v10	REG_VEC10	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v11	REG_VEC11	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v12	REG_VEC12	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v13	REG_VEC13	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v14	REG_VEC14	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v15	REG_VEC15	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v16	REG_VEC16	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v17	REG_VEC17	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v18	REG_VEC18	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v19	REG_VEC19	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v20	REG_VEC20	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v21	REG_VEC21	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v22	REG_VEC22	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v23	REG_VEC23	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v24	REG_VEC24	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v25	REG_VEC25	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v26	REG_VEC26	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v27	REG_VEC27	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v28	REG_VEC28	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v29	REG_VEC29	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v30	REG_VEC30	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
v31	REG_VEC31	incumbent: the per-ISA table routed this gdb name here; the RISC-V vector feature declares the vector register file
