# The generic word each x86 decode rule carries.
#
# x86 has no .decode file to write a word on: target/i386 decodes through a
# hand-written table of X86_OP_ENTRY/X86_OP_GROUP rows whose first argument is
# the rule's name.  The name is the key here, and scripts/insn-df-words.py
# turns this file into the X86_DF_WORD_<rule> macros the table expands.  The
# generator reads decode-new.c.inc's own rule names and REFUSES a set that
# does not match this file exactly, in both directions: a rule added to the
# decoder without a word here is a build error, and a row here for a rule the
# decoder does not have is a build error.  So the completeness of this file is
# checked by the build and not by whoever last edited it.
#
# A word of "-" means the rule has nothing generic to say about itself.  Per
# include/exec/insn-dataflow-words.h that is a statement, not an omission: a
# consumer can tell it apart from a rule that was never reached.  Five rows
# take it, and each says why on its own line.
#
# The words are adjudications.  Where one differs from what the Capstone-keyed
# classifier published, the reason is in the commit message's enumerated
# classes; the merits, not the incumbency, decide.
#
# Copyright (c) 2026 Maccoy Merrell
#
# SPDX-License-Identifier: GPL-2.0-or-later
#
# rule<TAB>word
3dnow	-	dispatcher: gen_3dnow switches on the imm8 suffix byte itself
AAA	int.add
AAD	int.mul
AAM	int.div
AAS	int.sub
ADC	int.add
ADCX	int.add
ADD	int.add
ADOX	int.add
AND	and
ANDN	and
ARPL	cmp
BEXTR	bitmanip
BLENDVPD	vec.shuffle
BLENDVPS	vec.shuffle
BLSI	bitmanip
BLSMSK	bitmanip
BLSR	bitmanip
BOUND	cmp
BSF	bitmanip
BSR	bitmanip
BSWAP	bitmanip
BT	test
BTC	bitmanip
BTR	bitmanip
BTS	bitmanip
BZHI	bitmanip
CALL	call
CALLF	call
CALLF_m	call.reg
CALL_m	call.reg
CBW	movsx
CLC	bitmanip
CLD	bitmanip
CLI	bitmanip
CLTS	bitmanip
CMC	bitmanip
CMOVcc	cmov
CMP	cmp
CMPS	cmp
CMPXCHG	xchg
CMPXCHG16B	xchg
CMPXCHG8B	xchg
CMPccXADD	xchg
CPUID	mov
CRC32	bitmanip
CVTPI2Px	fp.cvt
CVTPx2PI	fp.cvt
CVTTPx2PI	fp.cvt
CWD	movsx
DAA	int.add
DAS	int.sub
DEC	int.dec
DIV	int.div
EMMS	nop
ENTER	push
EXTRQ_i	vec.shuffle
EXTRQ_r	vec.shuffle
FXRSTOR	load
FXSAVE	store
HLT	nop
IDIV	int.div
IMUL	int.mul
IMUL3	int.mul
IN	load
INC	int.inc
INS	store
INSERTQ_i	vec.shuffle
INSERTQ_r	vec.shuffle
INT	syscall
INT1	syscall
INT3	syscall
INTO	cmp
IRET	ret
JCXZ	jump.cond
JMP	jump
JMPF	jump
JMPF_m	jump.reg
JMP_m	jump.reg
Jcc	jump.cond
LAHF	mov
LAR	mov
LDMXCSR	load
LDS	load
LEA	lea
LEAVE	pop
LES	load
LFENCE	fence
LFS	load
LGS	load
LODS	load
LOOP	jump.cond
LOOPE	jump.cond
LOOPNE	jump.cond
LSL	mov
LSS	load
LZCNT	bitmanip
MASKMOV	vec.store
MFENCE	fence
MOV	mov
MOVBE	mov
MOVDQ	vec.mov
MOVD_from	vec.mov
MOVD_to	vec.mov
MOVMSK	vec.mov
MOVQ	vec.mov
MOVS	mov
MOVSX	movsx
MOVZX	movzx
MOVq_dq	vec.mov
MUL	int.mul
MULX	int.mul
NEG	int.neg
NOP	nop
NOT	not
OR	or
OUT	store
OUTS	load
PABSB	vec.logic
PABSD	vec.logic
PABSW	vec.logic
PACKSSDW	vec.shuffle
PACKSSWB	vec.shuffle
PACKUSWB	vec.shuffle
PADDB	vec.add
PADDD	vec.add
PADDQ	vec.add
PADDSB	vec.add
PADDSW	vec.add
PADDUSB	vec.add
PADDUSW	vec.add
PADDW	vec.add
PALIGNR	vec.shuffle
PAND	vec.logic
PANDN	vec.logic
PAUSE	nop
PAVGB	vec.logic
PAVGW	vec.logic
PBLENDVB	vec.shuffle
PCLMULQDQ	vec.mul
PCMPEQB	vec.logic
PCMPEQD	vec.logic
PCMPEQQ	vec.logic
PCMPEQW	vec.logic
